Rk,Team,Conf,W-L,NetRtg,ORtg,ORtg,DRtg,DRtg,AdjT,AdjT,Luck,Luck,NetRtg,NetRtg,ORtg,ORtg,DRtg,DRtg,NetRtg,NetRtg
1,Duke,ACC,28-3,+39.64,129.2,2,89.6,4,66.1,253,-.039,279,+9.22,59,112.8,46,103.6,69,+9.41,21
2,Auburn,SEC,27-4,+35.90,130.2,1,94.3,14,68.2,134,+.038,94,+18.52,2,117.5,2,99.0,2,+10.44,18
3,Houston,B12,27-4,+35.15,124.2,10,89.1,2,61.2,361,+.007,160,+13.04,26,113.5,38,100.5,15,+2.39,106
4,Florida,SEC,27-4,+34.60,127.3,3,92.7,10,69.6,66,+.003,173,+12.82,28,114.0,30,101.2,27,-1.89,232
5,Tennessee,SEC,25-6,+30.86,119.3,22,88.5,1,63.9,344,+.016,138,+14.53,14,116.4,4,101.9,46,-0.83,200
6,Alabama,SEC,24-7,+29.81,127.3,4,97.5,31,74.9,1,+.025,117,+18.87,1,118.3,1,99.5,4,+11.99,10
7,Texas Tech,B12,24-7,+28.65,125.3,7,96.7,27,65.8,279,-.046,295,+10.25,51,111.7,66,101.4,30,-4.68,307
8,Gonzaga,WCC,23-8,+27.27,125.1,8,97.9,35,70.3,48,-.092,351,+6.39,79,111.2,74,104.8,91,+9.26,22
9,Michigan St.,B10,25-5,+27.04,118.6,27,91.6,5,67.8,156,+.005,168,+12.43,35,114.4,21,101.9,48,+0.22,162
10,Iowa St.,B12,23-8,+26.57,118.6,30,92.0,6,68.9,97,-.035,272,+11.93,39,113.5,39,101.6,34,-1.37,217
11,Kentucky,SEC,21-10,+25.59,125.6,6,100.0,55,71.0,27,-.012,214,+17.35,3,117.0,3,99.6,5,+3.90,73
12,Maryland,B10,24-7,+25.51,117.9,34,92.4,9,70.1,53,-.021,241,+10.09,52,113.3,45,103.2,61,-10.39,359
13,Wisconsin,B10,23-8,+25.45,123.1,11,97.6,33,67.8,152,-.040,281,+12.57,33,114.4,20,101.8,43,-0.15,182
14,Purdue,B10,21-10,+25.10,124.9,9,99.8,51,65.4,291,-.019,233,+15.62,7,116.0,6,100.4,14,+10.51,16
15,St. John's,BE,27-4,+24.93,114.2,68,89.3,3,70.0,55,-.015,221,+8.49,63,111.8,62,103.3,65,-0.31,187
16,Arizona,B12,20-11,+24.90,122.3,14,97.4,29,70.1,52,-.057,313,+15.09,10,114.9,14,99.9,10,+5.33,48
17,Texas A&M,SEC,22-9,+24.66,116.9,45,92.2,7,66.4,237,+.016,139,+16.21,4,116.0,5,99.8,8,+7.28,37
18,Illinois,B10,20-11,+24.51,121.9,15,97.4,30,71.6,16,-.025,252,+15.65,6,115.3,9,99.6,6,+3.36,87
19,Clemson,ACC,26-5,+24.35,120.4,18,96.1,21,64.2,335,-.028,264,+7.53,70,111.8,63,104.2,78,+3.87,75
20,Missouri,SEC,21-10,+24.26,126.0,5,101.7,75,68.2,131,-.050,302,+11.95,38,113.5,40,101.5,33,-9.37,357
21,Kansas,B12,20-11,+23.82,116.2,53,92.3,8,68.6,117,-.027,261,+15.07,11,114.9,15,99.8,7,+8.52,29
22,Saint Mary's,WCC,27-4,+23.57,116.9,42,93.4,11,62.0,359,+.015,141,+5.10,89,111.3,73,106.2,120,+5.32,49
23,Louisville,ACC,25-6,+22.97,118.6,29,95.6,19,68.9,96,+.048,73,+9.25,58,112.8,47,103.5,67,+7.28,36
24,BYU,B12,23-8,+22.67,122.9,12,100.3,57,67.4,189,+.027,113,+9.86,54,111.7,67,101.8,44,-7.43,346
25,UCLA,B10,22-9,+22.51,117.1,39,94.6,15,65.1,305,-.006,197,+11.97,37,114.0,33,102.0,49,-4.99,312
26,Marquette,BE,22-9,+22.06,118.1,33,96.1,22,67.4,191,-.023,248,+11.66,42,113.4,43,101.7,38,+8.63,27
27,Mississippi,SEC,21-10,+21.99,118.9,26,96.9,28,68.3,127,+.021,128,+15.15,9,115.3,10,100.1,11,-0.64,195
28,Michigan,B10,22-8,+21.01,116.5,49,95.5,17,69.7,64,+.057,59,+13.16,25,114.1,27,100.9,23,+3.75,79
29,VCU,A10,25-6,+20.48,117.0,40,96.5,26,66.4,234,-.067,324,+0.72,134,107.5,149,106.8,137,-3.89,290
30,Baylor,B12,18-13,+20.43,120.8,17,100.4,59,65.0,310,-.046,294,+15.31,8,114.0,32,98.7,1,+7.67,33
31,Oregon,B10,22-8,+19.85,117.8,35,97.9,37,67.9,149,+.089,26,+13.80,17,114.8,17,101.0,24,+4.06,68
32,Mississippi St.,SEC,20-11,+19.79,119.4,21,99.6,50,68.0,139,+.023,120,+14.80,12,115.6,7,100.8,21,+0.87,142
33,Georgia,SEC,20-11,+19.70,115.9,55,96.2,24,66.7,222,+.013,150,+13.35,21,114.1,26,100.8,20,-5.39,321
34,Ohio St.,B10,17-14,+19.07,118.5,31,99.4,48,67.4,184,-.059,315,+14.57,13,115.2,11,100.6,17,+3.23,90
35,Connecticut,BE,22-9,+19.01,122.3,13,103.3,96,64.3,331,-.013,217,+9.57,56,112.2,57,102.7,56,-0.36,189
36,Creighton,BE,22-9,+18.94,117.2,38,98.2,43,67.7,160,+.039,89,+11.03,48,112.5,52,101.5,32,+6.14,46
37,North Carolina,ACC,20-12,+18.31,119.8,20,101.5,70,70.8,30,-.012,212,+11.71,41,113.9,34,102.2,51,+13.36,7
38,Oklahoma,SEC,19-12,+17.73,119.2,24,101.4,69,68.7,109,+.013,149,+13.96,16,114.6,19,100.6,18,-5.36,320
39,UC San Diego,BW,28-4,+17.71,115.5,58,97.7,34,66.1,258,+.012,153,-2.21,193,106.1,221,108.3,195,-1.92,233
40,Arkansas,SEC,19-12,+17.62,113.2,77,95.5,18,69.4,69,-.004,191,+13.50,20,115.1,12,101.6,36,-2.80,259
Rk,Team,Conf,W-L,NetRtg,ORtg,ORtg,DRtg,DRtg,AdjT,AdjT,Luck,Luck,NetRtg,NetRtg,ORtg,ORtg,DRtg,DRtg,NetRtg,NetRtg
41,New Mexico,MWC,25-6,+17.57,113.5,71,95.9,20,73.3,4,+.013,146,+6.22,80,109.7,91,103.4,66,+5.21,51
42,Xavier,BE,21-10,+17.04,115.1,61,98.0,40,69.2,79,-.004,190,+8.93,60,111.5,71,102.6,55,-1.30,215
43,San Diego St.,MWC,21-8,+16.86,110.8,105,94.0,12,66.3,239,+.014,143,+8.39,64,111.6,69,103.3,63,+12.93,8
44,Indiana,B10,19-12,+16.84,114.9,62,98.1,41,68.0,140,+.030,106,+13.17,24,114.9,16,101.7,40,+1.45,129
45,Vanderbilt,SEC,20-11,+16.52,118.9,25,102.4,83,69.7,65,+.038,91,+12.77,29,114.0,28,101.3,28,-6.96,343
46,Texas,SEC,17-14,+16.50,116.3,52,99.8,52,67.5,175,-.074,337,+12.97,27,114.2,22,101.3,29,-8.06,349
47,Northwestern,B10,16-15,+16.27,114.6,65,98.4,45,64.9,313,-.092,352,+12.08,36,114.0,31,101.9,47,-2.06,238
48,Memphis,Amer,26-5,+15.98,114.1,69,98.1,42,70.6,36,+.079,33,+6.43,77,111.9,60,105.5,103,+15.72,4
49,Boise St.,MWC,22-9,+15.94,116.8,46,100.9,63,66.0,263,-.012,213,+5.23,87,109.4,93,104.2,75,+1.82,122
50,Nebraska,B10,17-13,+15.94,114.3,67,98.4,46,67.6,168,-.005,194,+12.46,34,114.2,25,101.7,39,-2.79,258
51,Colorado St.,MWC,22-9,+15.80,116.4,51,100.6,62,66.2,243,+.014,144,+5.07,90,109.3,95,104.3,79,+1.58,127
52,West Virginia,B12,19-12,+15.73,109.9,127,94.2,13,64.5,326,+.035,100,+13.35,22,113.6,36,100.2,12,+1.12,137
53,SMU,ACC,22-9,+15.52,118.2,32,102.6,85,68.9,100,+.027,111,+5.58,83,110.6,80,105.0,97,-3.66,284
54,Utah St.,MWC,25-6,+15.16,121.2,16,106.0,145,67.9,148,+.096,22,+5.02,91,109.1,100,104.1,73,+0.68,149
55,Villanova,BE,18-13,+15.02,119.8,19,104.8,122,63.1,354,-.082,346,+7.70,68,110.9,77,103.2,62,-6.16,335
56,Santa Clara,WCC,20-11,+14.97,116.7,47,101.8,77,69.1,87,-.036,274,+4.58,94,110.2,85,105.6,107,+3.90,72
57,Cincinnati,B12,17-14,+14.86,111.2,102,96.3,25,65.5,288,-.055,311,+11.08,47,112.7,48,101.6,35,-5.07,314
58,Pittsburgh,ACC,17-14,+13.99,117.2,37,103.2,94,66.4,233,-.054,306,+8.89,61,112.6,50,103.7,70,+4.08,67
59,Penn St.,B10,16-15,+13.72,115.1,60,101.4,68,70.1,51,-.093,354,+9.47,57,112.6,51,103.1,60,-10.72,361
60,McNeese,Slnd,25-6,+13.62,114.8,64,101.1,66,65.5,287,-.026,255,-1.99,185,105.7,245,107.7,163,+8.93,24
61,Drake,MVC,29-3,+13.42,112.9,81,99.5,49,59.1,364,+.006,164,-0.63,161,107.7,142,108.3,190,-2.58,250
62,Liberty,CUSA,25-6,+12.86,110.8,104,98.0,38,65.9,273,-.008,204,+0.35,140,106.4,200,106.0,114,-2.68,254
63,USC,B10,15-16,+12.73,116.9,43,104.2,109,68.6,115,-.044,291,+11.90,40,113.6,35,101.7,41,-1.77,230
64,UC Irvine,BW,27-5,+12.50,107.5,167,95.0,16,69.0,93,+.061,54,+0.29,141,107.3,158,107.0,145,+4.25,65
65,North Texas,Amer,23-6,+12.47,110.8,107,98.3,44,60.7,362,-.004,189,+1.09,126,109.1,102,108.0,176,+1.88,120
66,Kansas St.,B12,15-16,+12.44,110.5,111,98.0,39,67.4,186,-.048,299,+12.62,32,112.5,53,99.9,9,-0.94,203
67,San Francisco,WCC,23-8,+12.37,112.2,89,99.8,53,67.5,174,+.062,49,+2.93,100,109.6,92,106.7,131,-1.20,212
68,South Carolina,SEC,12-19,+11.54,110.9,103,99.3,47,65.6,284,-.078,343,+14.43,15,115.5,8,101.0,25,-1.71,228
69,Arizona St.,B12,13-18,+11.45,113.3,73,101.9,78,68.7,112,-.010,208,+15.71,5,115.1,13,99.4,3,+8.47,30
70,Wake Forest,ACC,21-10,+11.38,109.3,140,97.9,36,67.3,197,+.099,18,+8.02,67,111.6,70,103.5,68,-2.08,239
71,Utah,B12,16-15,+11.35,113.3,72,102.0,79,69.1,90,-.043,288,+10.49,50,112.3,56,101.8,45,-9.32,355
72,Yale,Ivy,20-7,+11.29,115.7,57,104.4,111,67.8,153,-.065,321,-2.87,224,106.6,188,109.4,252,-0.77,198
73,Dayton,A10,22-9,+11.22,116.9,44,105.7,140,66.1,255,+.047,76,+4.68,93,108.8,106,104.1,74,+4.79,57
74,Iowa,B10,15-15,+11.17,118.6,28,107.4,179,70.0,56,-.048,298,+11.27,46,113.5,37,102.3,52,-8.25,350
75,Rutgers,B10,14-16,+11.02,116.5,50,105.5,131,68.8,104,-.013,216,+13.70,18,114.2,24,100.5,16,-2.25,243
76,Butler,BE,13-18,+10.66,116.9,41,106.3,149,67.7,162,-.094,355,+10.90,49,112.6,49,101.7,42,+2.92,93
77,UCF,B12,16-15,+10.59,115.2,59,104.6,118,72.1,12,+.036,98,+11.62,44,111.9,61,100.2,13,-1.09,210
78,Saint Joseph's,A10,20-11,+10.56,112.0,92,101.5,71,68.1,137,-.076,339,+0.47,137,106.9,177,106.4,128,-4.15,297
79,Nevada,MWC,16-15,+10.09,113.2,76,103.1,91,63.9,345,-.092,353,+5.58,84,109.8,90,104.2,77,+2.27,109
80,LSU,SEC,14-17,+9.50,110.0,125,100.5,61,68.0,141,-.065,322,+13.58,19,114.7,18,101.1,26,-7.02,344
81,Oregon St.,WCC,20-12,+9.38,116.7,48,107.3,174,63.9,343,-.029,266,+1.00,127,107.8,137,106.8,136,-4.18,300
82,Lipscomb,ASun,24-9,+9.22,113.2,75,104.0,105,66.1,257,-.033,269,-4.69,285,106.1,225,110.7,333,+3.98,69
83,Georgetown,BE,17-14,+9.19,109.1,143,99.9,54,68.4,124,-.024,251,+6.48,76,110.6,82,104.1,72,-11.60,363
84,High Point,BSth,28-5,+9.13,119.2,23,110.1,235,66.7,223,+.011,156,-5.59,296,104.9,281,110.4,322,-5.82,329
85,George Mason,A10,24-7,+9.01,105.2,216,96.1,23,64.6,321,+.090,25,+0.16,145,107.5,147,107.3,150,-5.52,326
86,Stanford,ACC,19-12,+8.97,111.3,100,102.4,82,66.4,232,+.051,67,+5.48,86,110.2,86,104.7,84,-3.85,289
87,Florida St.,ACC,17-14,+8.81,109.8,129,101.0,64,69.9,58,+.006,163,+6.54,75,111.0,75,104.5,80,-2.47,246
88,TCU,B12,16-15,+8.79,106.4,199,97.6,32,66.7,219,+.045,77,+13.17,23,114.0,29,100.8,22,+2.79,95
89,Minnesota,B10,15-15,+8.74,111.3,101,102.6,84,62.5,357,+.043,81,+11.28,45,113.4,42,102.1,50,-5.84,330
90,Arkansas St.,SB,23-9,+8.62,110.2,114,101.6,73,69.8,60,-.048,301,-3.09,232,105.2,264,108.3,194,+0.74,146
91,UNLV,MWC,17-14,+8.25,108.7,146,100.5,60,66.0,264,+.007,162,+6.42,78,110.6,81,104.2,76,+3.88,74
