Team	Quasi-Sagarin	Composite	Injury Adjustment	Adjusted Composite
Duke	94.54	2122	-3	2120
Houston	93.99	2107	+0	2107
Florida	93.51	2094	+9	2103
Auburn	92.78	2074	+0	2074
Alabama	90.95	2025	-6	2019
Tennessee	90.28	2007	-3	2004
St. John's	89.78	1993	-2	1991
Michigan St.	89.62	1989	+0	1989
Gonzaga	88.80	1967	+0	1967
Texas Tech	88.51	1959	+0	1959
Maryland	88.41	1957	-1	1956
Arizona	88.29	1953	-7	1946
Iowa St.	87.68	1937	-6	1931
Wisconsin	86.90	1916	+0	1916
Clemson	86.56	1907	+0	1907
Kansas	86.47	1904	+1	1906
Louisville	86.61	1908	-7	1901
Saint Mary's (CA)	86.12	1895	+0	1895
Texas A&M	85.96	1890	+2	1893
UConn	85.94	1890	+1	1891
BYU	85.96	1890	+0	1891
Kentucky	85.56	1880	+6	1886
Michigan	86.01	1892	-7	1884
Illinois	85.35	1874	+6	1881
Marquette	85.12	1868	+0	1868
Ole Miss	84.89	1862	+1	1863
UCLA	84.94	1863	+0	1863
Purdue	84.90	1862	-2	1860
VCU	84.77	1858	+2	1860
Missouri	84.44	1849	+2	1851
Creighton	84.60	1854	-6	1848
Oregon	84.37	1848	+0	1848
North Carolina	84.24	1844	+1	1845
Baylor	85.13	1868	-31	1837
Xavier	83.41	1822	+2	1823
Memphis	83.51	1824	-6	1818
UC San Diego	83.26	1817	+0	1817
Boise St.	83.25	1817		1817
New Mexico	83.14	1814	+1	1815
Georgia	82.99	1810	+1	1811
Colorado St.	82.85	1806	+1	1807
Mississippi St.	82.82	1806	-2	1804
Drake	82.59	1800	+0	1800
Texas	81.71	1776	+8	1784
Oklahoma	81.98	1783	-2	1781
Indiana	81.80	1778		1778
San Diego St.	81.62	1773	+3	1776
Ohio St.	81.60	1773		1773
SMU	81.51	1770		1770
Utah St.	81.29	1764	+0	1765
Northwestern	81.30	1765		1765
Villanova	81.19	1762		1762
Arkansas	83.38	1821	-70	1751
Penn St.	80.60	1746		1746
Cincinnati	80.43	1741		1741
Santa Clara	80.20	1735		1735
Wake Forest	80.14	1733		1733
Liberty	80.52	1743	-10	1733
Yale	80.05	1731	+1	1732
Vanderbilt	79.93	1728	-1	1726
Iowa	79.85	1726		1726
George Mason	79.76	1723		1723
San Francisco	79.75	1723		1723
Dayton	79.73	1722		1722
West Virginia	79.63	1720		1720
USC	79.52	1717		1717
UC Irvine	79.34	1712		1712
McNeese	79.36	1712	-0	1712
Kansas St.	79.19	1708		1708
High Point	79.03	1703	+3	1706
Rutgers	79.04	1704		1704
Nebraska	78.80	1697		1697
Grand Canyon	78.51	1689	+3	1693
Saint Joseph's	78.30	1684		1684
North Texas	78.18	1680		1680
UCF	77.89	1673		1673
Pittsburgh	77.69	1667		1667
Bradley	77.67	1667		1667
South Carolina	77.62	1665		1665
Stanford	77.54	1663		1663
Butler	77.52	1662		1662
Arizona St.	77.25	1655		1655
Loyola Chicago	77.20	1654		1654
Utah	77.15	1653		1653
Colorado	76.70	1640		1640
Arkansas St.	76.61	1638		1638
Saint Louis	76.60	1638		1638
UNLV	76.58	1637		1637
UAB	76.57	1637		1637
Nevada	76.51	1635		1635
Troy	76.45	1634	+1	1634
UNC Wilmington	76.39	1632	+1	1633
Akron	76.38	1632	+0	1632
Georgia Tech	76.36	1631		1631
TCU	76.36	1631		1631
Minnesota	76.32	1630		1630
Florida St.	76.25	1628		1628
Chattanooga	76.23	1628		1628
Utah Valley	76.12	1625		1625
Northern Iowa	76.10	1624		1624
Georgetown	76.05	1623		1623
Oregon St.	76.01	1622		1622
LSU	75.98	1621		1621
St. Bonaventure	75.68	1613		1613
Lipscomb	76.40	1632	-21	1611
Virginia	75.51	1608		1608
Oklahoma St.	75.19	1600		1600
Florida Atlantic	75.18	1599		1599
Providence	75.08	1597		1597
Belmont	74.98	1594		1594
Tulane	74.88	1591		1591
Syracuse	74.86	1591		1591
Northern Colorado	74.79	1589		1589
Notre Dame	74.76	1588		1588
Cornell	74.76	1588		1588
Cal State Northridge	74.76	1588		1588
Wofford	74.52	1582	+0	1582
Bryant	74.41	1579	+0	1579
Washington St.	74.36	1577		1577
George Washington	74.30	1576		1576
Robert Morris	74.24	1574	+0	1574
College of Charleston	74.17	1572		1572
Middle Tennessee	74.16	1572		1572
Furman	74.15	1572		1572
California	74.02	1568		1568
DePaul	74.01	1568		1568
NC State	73.97	1567		1567
Washington	73.90	1565		1565
North Alabama	73.86	1564		1564
Louisiana Tech	73.85	1563		1563
Duquesne	73.79	1562		1562
Samford	73.77	1561		1561
Jacksonville St.	73.69	1559		1559
Montana	73.58	1556	+2	1558
Towson	73.60	1557		1557
New Mexico St.	73.45	1553		1553
South Alabama	73.18	1545		1545
Murray St.	73.09	1543		1543
Kennesaw St.	73.05	1542		1542
Winthrop	73.00	1541		1541
St. Thomas	73.00	1540		1540
Omaha	72.92	1538	+0	1538
Milwaukee	72.90	1538		1538
Illinois St.	72.89	1537		1537
Kent St.	72.74	1534		1534
Seattle	72.57	1529		1529
East Tennessee St.	72.57	1529		1529
Wichita St.	72.54	1528		1528
Miami University (OH)	72.45	1526		1526
UNC Greensboro	72.42	1525		1525
Davidson	72.42	1525		1525
UC Santa Barbara	72.38	1524		1524
North Dakota St.	72.27	1521		1521
UC Riverside	72.03	1514		1514
Temple	71.98	1513		1513
James Madison	71.96	1512		1512
Virginia Tech	71.77	1507		1507
Illinois-Chicago	71.76	1507		1507
Marshall	71.69	1505		1505
Princeton	71.65	1504		1504
Radford	71.64	1504		1504
Norfolk St.	71.43	1498	+5	1503
San Jose St.	71.58	1502		1502
Drexel	71.56	1502		1502
Rhode Island	71.56	1502		1502
Cleveland St.	71.53	1501		1501
California Baptist	71.46	1499		1499
East Carolina	71.29	1494		1494
Merrimack	71.24	1493		1493
South Dakota St.	71.16	1491		1491
Purdue Fort Wayne	71.07	1488		1488
Central Connecticut	70.95	1485		1485
Youngstown St.	70.94	1485		1485
Dartmouth	70.92	1484		1484
Oakland	70.88	1483		1483
Loyola Marymount	70.86	1483		1483
Appalachian St.	70.78	1481		1481
Cal Poly	70.67	1478		1478
Indiana St.	70.60	1476		1476
Boston College	70.59	1476		1476
Maine	70.58	1475		1475
UTEP	70.57	1475		1475
Southern Illinois	70.56	1475		1475
Brown	70.44	1471		1471
South Florida	70.43	1471		1471
Eastern Kentucky	70.31	1468		1468
Quinnipiac	70.24	1466		1466
Montana St.	70.17	1464		1464
Jacksonville	70.16	1464		1464
Florida Gulf Coast	70.12	1463		1463
Western Kentucky	70.09	1462		1462
Lamar	70.03	1460		1460
Nicholls St.	69.93	1458		1458
UNC Asheville	69.91	1457		1457
Sam Houston	69.88	1456		1456
Vermont	69.88	1456		1456
U Miami (FL)	69.88	1456		1456
Valparaiso	69.83	1455		1455
South Carolina St.	69.83	1455		1455
A&M-Corpus Christi	69.82	1455		1455
SIU Edwardsville	69.38	1443	+6	1449
Mount St. Mary's (MD)	69.49	1446	+3	1449
UTSA	69.43	1444		1444
Seton Hall	69.33	1441		1441
Portland St.	69.32	1441		1441
Delaware	69.31	1441		1441
Abilene Christian	69.30	1441		1441
Northeastern	69.28	1440		1440
Wyoming	69.22	1438		1438
UMass (Amherst)	69.21	1438		1438
Texas St.	69.14	1436		1436
Northern Kentucky	69.10	1435		1435
Elon	69.05	1434		1434
American	68.97	1432	+1	1433
Ohio	68.98	1432		1432
Bucknell	68.95	1431		1431
UT Arlington	68.95	1431		1431
Hofstra	68.94	1431		1431
Hampton	68.94	1431		1431
Southeast Missouri St.	68.93	1431		1431
La Salle	68.90	1430		1430
Harvard	68.75	1426		1426
Pepperdine	68.73	1425		1425
Queens	68.67	1424		1424
Iona	68.50	1419		1419
Rice	68.48	1418		1418
Idaho St.	68.48	1418		1418
Fordham	68.43	1417		1417
UMass Lowell	68.40	1416		1416
Monmouth	68.35	1415		1415
Manhattan	68.35	1415		1415
Campbell	68.27	1413		1413
Richmond	68.21	1411		1411
Longwood	67.98	1405		1405
Central Michigan	67.96	1404		1404
William & Mary	67.81	1400		1400
Presbyterian	67.80	1400		1400
Hawaii	67.76	1399		1399
Southern	67.74	1399		1399
Toledo	67.66	1396		1396
